match_id,player,set,serve_pts,aces,dfs,first_in,first_won,second_in,second_won,bk_pts,bp_saved,return_pts,return_pts_won,winners,winners_fh,winners_bh,unforced,unforced_fh,unforced_bh,player1,player2,date,year,month,player1_rank,player2_rank
20190321-m-miami-masters-r128-chun-hsin-tseng-joao-sousa,2,1,30,0,2,12,9,18,13,0,0,53,22,9,8,1,14,10,2,hsin-tseng,joao-sousa,2019-03-21,2019,3,,41.0
20190321-m-miami-masters-r128-chun-hsin-tseng-joao-sousa,1,2,38,4,2,23,13,15,6,5,2,48,20,17,9,4,17,9,6,hsin-tseng,joao-sousa,2019-03-21,2019,3,,41.0
20190321-m-miami-masters-r128-leonardo-mayer-mikael-ymer,1,Total,105,7,8,58,41,47,25,8,5,89,35,35,20,7,51,30,13,leonardo-mayer,mikael-ymer,2019-03-21,2019,3,56.0,200.0
20190321-m-miami-masters-r128-leonardo-mayer-mikael-ymer,2,3,27,2,0,24,18,3,1,1,0,36,11,9,2,5,0,0,0,leonardo-mayer,mikael-ymer,2019-03-21,2019,3,56.0,200.0
20190321-m-miami-masters-r128-leonardo-mayer-mikael-ymer,1,3,36,5,1,23,18,13,7,3,3,27,8,17,9,3,11,6,4,leonardo-mayer,mikael-ymer,2019-03-21,2019,3,56.0,200.0
20190321-m-miami-masters-r128-lukas-lacko-robin-haase,2,1,29,4,1,19,14,10,5,2,2,20,9,10,4,2,10,6,3,lukas-lacko,robin-haase,2019-03-21,2019,3,133.0,68.0
20190321-m-miami-masters-r128-lukas-lacko-robin-haase,1,1,20,0,0,10,9,10,2,2,0,29,10,6,5,1,11,7,4,lukas-lacko,robin-haase,2019-03-21,2019,3,133.0,68.0
20190321-m-miami-masters-r128-lukas-lacko-robin-haase,2,Total,64,7,4,41,31,23,11,7,7,49,20,17,8,2,20,11,5,lukas-lacko,robin-haase,2019-03-21,2019,3,133.0,68.0
20190321-m-miami-masters-r128-lukas-lacko-robin-haase,1,Total,49,4,2,29,22,20,7,6,3,64,22,18,10,4,30,18,10,lukas-lacko,robin-haase,2019-03-21,2019,3,133.0,68.0
20190322-m-miami-masters-r64-nick-kyrgios-alexander-bublik,1,1,43,6,2,30,27,13,3,7,7,29,7,16,8,1,10,3,5,nick-kyrgios,alexander-bublik,2019-03-22,2019,3,33.0,134.0
20190322-m-miami-masters-r64-robin-haase-lloyd-george-muirhead-harris,2,3,34,2,2,16,8,18,8,3,0,33,15,11,8,1,22,16,4,lloyd-george,muirhead-harris,2019-03-22,2019,3,,
20190322-m-miami-masters-r64-robin-haase-lloyd-george-muirhead-harris,1,3,33,2,2,18,11,15,7,6,4,34,18,6,3,1,11,6,3,lloyd-george,muirhead-harris,2019-03-22,2019,3,,
20190322-m-miami-masters-r64-robin-haase-lloyd-george-muirhead-harris,2,2,29,3,1,16,10,13,7,4,2,30,10,9,6,0,16,6,9,lloyd-george,muirhead-harris,2019-03-22,2019,3,,
20190322-m-miami-masters-r64-robin-haase-lloyd-george-muirhead-harris,1,2,30,2,2,15,14,15,6,2,2,29,12,6,0,4,11,5,4,lloyd-george,muirhead-harris,2019-03-22,2019,3,,
20190322-m-miami-masters-r64-robin-haase-lloyd-george-muirhead-harris,2,1,24,2,2,17,15,7,2,0,0,28,12,8,6,0,12,6,4,lloyd-george,muirhead-harris,2019-03-22,2019,3,,
20190322-m-miami-masters-r64-robin-haase-lloyd-george-muirhead-harris,1,1,28,1,1,17,13,11,3,3,1,24,7,6,3,2,12,5,6,lloyd-george,muirhead-harris,2019-03-22,2019,3,,
20190322-m-miami-masters-r64-nick-kyrgios-alexander-bublik,2,2,24,2,0,14,8,10,7,3,2,30,8,7,3,2,10,2,8,nick-kyrgios,alexander-bublik,2019-03-22,2019,3,33.0,134.0
20190322-m-miami-masters-r64-robin-haase-lloyd-george-muirhead-harris,1,Total,91,5,5,50,38,41,16,11,7,87,37,18,6,7,34,16,13,lloyd-george,muirhead-harris,2019-03-22,2019,3,,
20190322-m-miami-masters-r64-robin-haase-lloyd-george-muirhead-harris,2,Total,87,7,5,49,33,38,17,7,2,91,37,28,20,1,50,28,17,lloyd-george,muirhead-harris,2019-03-22,2019,3,,
20190322-m-miami-masters-r64-nick-kyrgios-alexander-bublik,1,2,30,2,1,24,19,6,3,0,0,24,9,11,6,2,9,1,7,nick-kyrgios,alexander-bublik,2019-03-22,2019,3,33.0,134.0
20190322-m-miami-masters-r64-nick-kyrgios-alexander-bublik,1,Total,73,8,3,54,46,19,6,7,7,53,16,27,14,3,19,4,12,nick-kyrgios,alexander-bublik,2019-03-22,2019,3,33.0,134.0
20190322-m-miami-masters-r64-nick-kyrgios-alexander-bublik,2,Total,53,10,2,36,25,17,12,4,2,73,21,22,6,6,18,5,11,nick-kyrgios,alexander-bublik,2019-03-22,2019,3,33.0,134.0
20190322-m-miami-masters-r64-nick-kyrgios-alexander-bublik,2,1,29,8,2,22,17,7,5,1,0,43,13,15,3,4,8,3,3,nick-kyrgios,alexander-bublik,2019-03-22,2019,3,33.0,134.0
20190323-m-miami-masters-r64-roger-federer-radu-albot,2,2,40,1,0,23,16,17,9,2,1,34,8,5,2,2,11,5,6,roger-federer,radu-albot,2019-03-23,2019,3,4.0,53.0
20190323-m-miami-masters-r64-roger-federer-radu-albot,1,3,30,6,1,20,16,10,7,1,1,30,13,11,4,1,13,6,6,roger-federer,radu-albot,2019-03-23,2019,3,4.0,53.0
20190323-m-miami-masters-r64-roger-federer-radu-albot,2,3,30,0,0,18,12,12,5,2,1,30,7,6,4,2,10,4,6,roger-federer,radu-albot,2019-03-23,2019,3,4.0,53.0
20190323-m-miami-masters-r64-alexander-zverev-david-ferrer,1,Total,100,9,12,55,38,45,18,14,9,84,35,28,12,7,49,17,20,alexander-zverev,david-ferrer,2019-03-23,2019,3,3.0,143.0
20190323-m-miami-masters-r64-alexander-zverev-david-ferrer,1,1,25,1,1,12,9,13,6,5,4,22,14,11,6,4,12,5,6,alexander-zverev,david-ferrer,2019-03-23,2019,3,3.0,143.0
20190323-m-miami-masters-r64-alexander-zverev-david-ferrer,2,Total,84,0,2,53,30,31,19,7,3,100,44,17,12,5,35,17,16,alexander-zverev,david-ferrer,2019-03-23,2019,3,3.0,143.0
20190323-m-miami-masters-r64-marin-cilic-andrey-rublev,1,2,37,3,1,24,16,13,5,10,8,31,12,10,5,2,13,8,4,marin-cilic,andrey-rublev,2019-03-23,2019,3,11.0,102.0
20190323-m-miami-masters-r64-roger-federer-radu-albot,2,1,31,1,0,25,18,6,4,4,4,27,9,7,5,1,9,6,3,roger-federer,radu-albot,2019-03-23,2019,3,4.0,53.0
20190323-m-miami-masters-r64-roger-federer-radu-albot,1,1,27,3,0,15,12,12,6,2,1,31,9,12,6,3,9,3,6,roger-federer,radu-albot,2019-03-23,2019,3,4.0,53.0
20190323-m-miami-masters-r64-roger-federer-radu-albot,2,Total,101,2,0,66,46,35,18,8,6,91,24,18,11,5,30,15,15,roger-federer,radu-albot,2019-03-23,2019,3,4.0,53.0
20190323-m-miami-masters-r64-roger-federer-radu-albot,1,Total,91,14,2,57,44,34,23,4,3,101,37,38,15,9,37,18,17,roger-federer,radu-albot,2019-03-23,2019,3,4.0,53.0
20190323-m-miami-masters-r64-marin-cilic-andrey-rublev,2,2,31,2,2,16,12,15,7,1,0,37,16,14,8,4,11,3,6,marin-cilic,andrey-rublev,2019-03-23,2019,3,11.0,102.0
20190323-m-miami-masters-r32-francis-tiafoe-miomir-kecmanovic,1,Total,85,6,4,60,40,25,11,4,1,104,45,43,24,13,42,23,15,francis-tiafoe,miomir-kecmanovic,2019-03-23,2019,3,,130.0
20190323-m-miami-masters-r32-francis-tiafoe-miomir-kecmanovic,2,Total,104,3,2,62,40,42,19,14,11,85,34,21,15,3,21,14,5,francis-tiafoe,miomir-kecmanovic,2019-03-23,2019,3,,130.0
20190323-m-miami-masters-r32-francis-tiafoe-miomir-kecmanovic,1,1,41,3,2,27,19,14,5,2,0,50,22,13,6,4,18,11,5,francis-tiafoe,miomir-kecmanovic,2019-03-23,2019,3,,130.0
20190323-m-miami-masters-r32-francis-tiafoe-miomir-kecmanovic,2,1,50,2,1,29,19,21,9,5,3,41,17,11,7,2,11,8,2,francis-tiafoe,miomir-kecmanovic,2019-03-23,2019,3,,130.0
20190323-m-miami-masters-r32-francis-tiafoe-miomir-kecmanovic,1,2,44,3,2,33,21,11,6,2,1,54,23,30,18,9,24,12,10,francis-tiafoe,miomir-kecmanovic,2019-03-23,2019,3,,130.0
20190323-m-miami-masters-r32-francis-tiafoe-miomir-kecmanovic,2,2,54,1,1,33,21,21,10,9,8,44,17,10,8,1,10,6,3,francis-tiafoe,miomir-kecmanovic,2019-03-23,2019,3,,130.0
20190323-m-miami-masters-r64-roger-federer-radu-albot,1,2,34,5,1,22,16,12,10,1,1,40,15,15,5,5,15,9,5,roger-federer,radu-albot,2019-03-23,2019,3,4.0,53.0
20190323-m-miami-masters-r64-alexander-zverev-david-ferrer,1,2,37,6,7,20,15,17,7,3,1,34,12,12,4,2,22,7,8,alexander-zverev,david-ferrer,2019-03-23,2019,3,3.0,143.0
20190323-m-miami-masters-r64-alexander-zverev-david-ferrer,2,1,22,0,2,14,6,8,2,4,1,25,10,3,1,2,10,4,4,alexander-zverev,david-ferrer,2019-03-23,2019,3,3.0,143.0
20190323-m-miami-masters-r64-alexander-zverev-david-ferrer,1,3,38,2,4,23,14,15,5,6,4,28,9,5,2,1,15,5,6,alexander-zverev,david-ferrer,2019-03-23,2019,3,3.0,143.0
20190323-m-miami-masters-r64-marin-cilic-andrey-rublev,1,Total,83,9,4,53,35,30,11,22,18,61,23,21,10,2,33,12,17,marin-cilic,andrey-rublev,2019-03-23,2019,3,11.0,102.0
20190323-m-miami-masters-r64-marin-cilic-andrey-rublev,2,Total,61,6,4,32,23,29,15,2,0,83,37,26,14,6,22,7,11,marin-cilic,andrey-rublev,2019-03-23,2019,3,11.0,102.0
20190323-m-miami-masters-r64-marin-cilic-andrey-rublev,1,1,46,6,3,29,19,17,6,12,10,30,11,11,5,0,20,4,13,marin-cilic,andrey-rublev,2019-03-23,2019,3,11.0,102.0
20190323-m-miami-masters-r64-marin-cilic-andrey-rublev,2,1,30,4,2,16,11,14,8,1,0,46,21,12,6,2,11,4,5,marin-cilic,andrey-rublev,2019-03-23,2019,3,11.0,102.0
20190323-m-miami-masters-r64-david-goffin-pablo-andujar,2,2,27,0,0,16,7,11,5,6,4,21,5,9,6,3,8,5,3,david-goffin,pablo-andujar,2019-03-23,2019,3,21.0,93.0
20190323-m-miami-masters-r64-alexander-zverev-david-ferrer,2,2,34,0,0,20,11,14,11,2,1,37,15,9,7,2,15,8,7,alexander-zverev,david-ferrer,2019-03-23,2019,3,3.0,143.0
