2019.01.28,2019,1,28,1,1,,,31,10955,18,/en/players/novak-djokovic/d643/overview,novak-djokovic,d643
2019.01.28,2019,1,28,2,2,,,32,8320,13,/en/players/rafael-nadal/n409/overview,rafael-nadal,n409
2019.01.28,2019,1,28,3,3,1,up,21,6475,21,/en/players/alexander-zverev/z355/overview,alexander-zverev,z355
2019.01.28,2019,1,28,4,4,1,up,30,5060,17,/en/players/juan-martin-del-potro/d683/overview,juan-martin-del-potro,d683
2019.01.28,2019,1,28,5,5,1,up,32,4845,20,/en/players/kevin-anderson/a678/overview,kevin-anderson,a678
2019.01.28,2019,1,28,6,6,3,down,37,4600,17,/en/players/roger-federer/f324/overview,roger-federer,f324
2019.01.28,2019,1,28,7,7,2,up,29,4110,24,/en/players/kei-nishikori/n552/overview,kei-nishikori,n552
2019.01.28,2019,1,28,8,8,,,25,3960,25,/en/players/dominic-thiem/tb69/overview,dominic-thiem,tb69
2019.01.28,2019,1,28,9,9,1,up,33,3155,23,/en/players/john-isner/i186/overview,john-isner,i186
2019.01.28,2019,1,28,10,10,3,down,30,3140,18,/en/players/marin-cilic/c977/overview,marin-cilic,c977
2019.01.28,2019,1,28,11,11,,,22,2880,25,/en/players/karen-khachanov/ke29/overview,karen-khachanov,ke29
2019.01.28,2019,1,28,12,12,3,up,20,2805,29,/en/players/stefanos-tsitsipas/te51/overview,stefanos-tsitsipas,te51
2019.01.28,2019,1,28,13,13,1,down,22,2605,19,/en/players/borna-coric/cg80/overview,borna-coric,cg80
2019.01.28,2019,1,28,14,14,3,up,28,2250,20,/en/players/milos-raonic/r975/overview,milos-raonic,r975
2019.01.28,2019,1,28,15,15,2,down,31,2225,25,/en/players/fabio-fognini/f510/overview,fabio-fognini,f510
2019.01.28,2019,1,28,16,16,3,up,22,2000,26,/en/players/daniil-medvedev/mm58/overview,daniil-medvedev,mm58
2019.01.28,2019,1,28,17,17,14,up,24,1955,24,/en/players/lucas-pouille/pf39/overview,lucas-pouille,pf39
2019.01.28,2019,1,28,18,18,6,up,30,1955,23,/en/players/roberto-bautista-agut/bd06/overview,roberto-bautista-agut,bd06
2019.01.28,2019,1,28,19,19,1,down,26,1870,31,/en/players/marco-cecchinato/cf01/overview,marco-cecchinato,cf01
2019.01.28,2019,1,28,20,20,4,down,26,1835,25,/en/players/diego-schwartzman/sm37/overview,diego-schwartzman,sm37
2019.01.28,2019,1,28,21,21,1,up,28,1830,21,/en/players/david-goffin/gb88/overview,david-goffin,gb88
2019.01.28,2019,1,28,22,22,2,down,26,1820,29,/en/players/nikoloz-basilashvili/bg23/overview,nikoloz-basilashvili,bg23
2019.01.28,2019,1,28,23,23,,,27,1705,22,/en/players/pablo-carreno-busta/cd85/overview,pablo-carreno-busta,cd85
2019.01.28,2019,1,28,24,24,3,down,27,1610,20,/en/players/grigor-dimitrov/d875/overview,grigor-dimitrov,d875
2019.01.28,2019,1,28,25,25,2,up,19,1485,26,/en/players/denis-shapovalov/su55/overview,denis-shapovalov,su55
2019.01.28,2019,1,28,26,26,2,up,35,1455,27,/en/players/fernando-verdasco/v306/overview,fernando-verdasco,v306
2019.01.28,2019,1,28,27,27,1,down,32,1445,24,/en/players/richard-gasquet/g628/overview,richard-gasquet,g628
2019.01.28,2019,1,28,28,28,1,up,19,1443,26,/en/players/alex-de-minaur/dh58/overview,alex-de-minaur,dh58
2019.01.28,2019,1,28,29,29,15,down,24,1440,23,/en/players/kyle-edmund/e831/overview,kyle-edmund,e831
2019.01.28,2019,1,28,30,30,9,up,21,1430,24,/en/players/frances-tiafoe/td51/overview,frances-tiafoe,td51
2019.01.28,2019,1,28,31,31,1,down,34,1280,28,/en/players/gilles-simon/sd32/overview,gilles-simon,sd32
2019.01.28,2019,1,28,32,32,,,35,1250,24,/en/players/philipp-kohlschreiber/k435/overview,philipp-kohlschreiber,k435
2019.01.28,2019,1,28,33,33,,,32,1195,23,/en/players/gael-monfils/mc65/overview,gael-monfils,mc65
2019.01.28,2019,1,28,34,34,,,29,1190,24,/en/players/steve-johnson/j386/overview,steve-johnson,j386
2019.01.28,2019,1,28,35,35,1,up,31,1155,27,/en/players/jeremy-chardy/ca12/overview,jeremy-chardy,ca12
2019.01.28,2019,1,28,36,36,1,up,29,1108,23,/en/players/john-millman/mh30/overview,john-millman,mh30
2019.01.28,2019,1,28,37,37,2,down,34,1080,24,/en/players/andreas-seppi/sa93/overview,andreas-seppi,sa93
2019.01.28,2019,1,28,38,38,2,up,29,1066,22,/en/players/martin-klizan/k966/overview,martin-klizan,k966
2019.01.28,2019,1,28,39,39,5,up,29,1062,29,/en/players/joao-sousa/sh90/overview,joao-sousa,sh90
2019.01.28,2019,1,28,40,40,10,up,21,1038,27,/en/players/taylor-fritz/fb98/overview,taylor-fritz,fb98
2019.01.28,2019,1,28,41,41,4,up,23,1015,21,/en/players/nicolas-jarry/j551/overview,nicolas-jarry,j551
2019.01.28,2019,1,28,42,42,4,up,28,1010,27,/en/players/dusan-lajovic/l987/overview,dusan-lajovic,l987
2019.01.28,2019,1,28,43,43,,,35,1007,30,/en/players/malek-jaziri/j267/overview,malek-jaziri,j267
2019.01.28,2019,1,28,44,44,11,up,27,983,25,/en/players/pierre-hugues-herbert/h996/overview,pierre-hugues-herbert,h996
2019.01.28,2019,1,28,45,45,3,up,31,981,27,/en/players/matthew-ebden/e690/overview,matthew-ebden,e690
2019.01.28,2019,1,28,46,46,4,down,30,965,31,/en/players/adrian-mannarino/me82/overview,adrian-mannarino,me82
2019.01.28,2019,1,28,47,47,9,down,26,959,27,/en/players/marton-fucsovics/f724/overview,marton-fucsovics,f724
2019.01.28,2019,1,28,48,48,1,up,31,940,23,/en/players/sam-querrey/q927/overview,sam-querrey,q927
2019.01.28,2019,1,28,49,49,4,up,31,920,25,/en/players/leonardo-mayer/md56/overview,leonardo-mayer,md56
2019.01.28,2019,1,28,50,50,25,down,22,910,23,/en/players/hyeon-chung/ch27/overview,hyeon-chung,ch27
2019.01.28,2019,1,28,51,51,,,28,910,25,/en/players/jan-lennard-struff/sl28/overview,jan-lennard-struff,sl28
2019.01.28,2019,1,28,52,52,5,down,26,905,30,/en/players/damir-dzumhur/d923/overview,damir-dzumhur,d923
2019.01.28,2019,1,28,53,53,1,up,22,904,25,/en/players/matteo-berrettini/bk40/overview,matteo-berrettini,bk40
2019.01.28,2019,1,28,54,54,4,up,31,895,28,/en/players/robin-haase/h756/overview,robin-haase,h756
2019.01.28,2019,1,28,55,55,1,up,31,890,22,/en/players/mikhail-kukushkin/k926/overview,mikhail-kukushkin,k926
2019.01.28,2019,1,28,56,56,4,up,28,858,24,/en/players/marius-copil/ca99/overview,marius-copil,ca99
2019.01.28,2019,1,28,57,57,2,up,33,830,18,/en/players/stan-wawrinka/w367/overview,stan-wawrinka,w367
2019.01.28,2019,1,28,58,58,3,up,29,820,30,/en/players/benoit-paire/pd31/overview,benoit-paire,pd31
